id,xpos,ypos,type
h_463,0.5468080989155142,0.7484273109356187,house
h_464,0.1668642523461576,0.35270623898239534,house
h_465,0.5138763081196898,0.8864590148410203,house
h_466,0.6635732814141646,0.810075860234023,house
h_467,0.704650762463864,0.3327550096275196,house
h_468,0.6015873807724688,0.6800804965576235,house
h_469,0.4442971026966712,0.8022067230913594,house
h_470,0.4670543192435319,0.350501705721311,house
h_471,0.5805135215120545,0.8845114880051754,house
h_472,0.5587639960208637,0.46397826069151826,house
h_473,0.6473270399807968,0.7681705064294782,house
h_474,0.6799368422302311,0.5631301431679919,house
h_475,0.5455504309119564,0.8688119702370773,house
h_476,0.6020832566615426,0.9251613044505319,house
h_477,0.05512194418745718,0.31355305969548924,house
h_478,0.6600962799836182,0.6859933773280349,house
h_479,0.0958993749517703,0.24654984444396208,house
h_480,0.7295178284174353,0.1858543926341374,house
h_481,0.11456961897582382,0.3202842399490405,house
h_482,0.38064879175150096,0.8735316798031111,house
h_483,0.4749016397600405,0.8947249125454982,house
h_484,0.5749936613274843,0.336718333995147,house
h_485,0.2849491429937458,0.8767479714565962,house
h_486,0.898020044620861,0.318742733618529,house
h_487,0.5342273560994139,0.37997588058556037,house
h_488,0.5301104667382914,0.33980501126983514,house
h_489,0.5383819976612638,0.7586666437256472,house
h_490,0.10622329595707385,0.2585845250962782,house
h_491,0.6040620418242125,0.3373768025039764,house
h_492,0.5898398829180541,0.7330473693275187,house
h_493,0.5663134817699201,0.453878441139894,house
h_494,0.6084249140781293,0.32432072251877747,house
h_495,0.8936493332357218,0.5693695600753264,house
h_496,0.06984228365199306,0.30215901607805823,house
h_497,0.22806840508823772,0.3465571960165028,house
h_498,0.19652299856945454,0.3329796236306594,house
h_499,0.6602527497966953,0.5296530929227918,house
h_500,0.664060261060028,0.7736285015775838,house
h_501,0.7458491658815763,0.14101098199813028,house
h_502,0.5631210332653355,0.5330479254748736,house
h_503,0.5366293299775815,0.9209203682182964,house
h_504,0.5862681316420028,0.7716520756201294,house
h_505,0.5643013765307148,0.42760656260819707,house
h_506,0.5339203523538726,0.3348772678427851,house
h_507,0.5792711925777742,0.4483042111996456,house
h_508,0.7170814462179521,0.6230965553451108,house
h_509,0.6055241679379348,0.3575025926024994,house
