id,xpos,ypos,stoppoint
n_id545,0.572134602,0.492738367,-1
n_id546,0.594024943,0.499561252,-1
n_id547,0.60732369,0.502745891,-1
n_id548,0.651826174,0.466371248,-1
n_id549,0.540061852,0.494523078,-1
n_id550,0.535943538,0.497823465,-1
n_id551,0.534579473,0.495460013,-1
n_id552,0.517076935,0.499590971,-1
n_id553,0.508539951,0.498636831,-1
n_id554,0.504702998,0.496623751,-1
n_id555,0.510955855,0.495442807,-1
n_id556,0.516770644,0.489226818,-1
n_id557,0.533051577,0.522706192,-1
n_id558,0.532581455,0.530473832,-1
n_id559,0.534812159,0.542219143,-1
n_id560,0.525055946,0.542904247,-1
n_id561,0.525262514,0.546054474,-1
n_id562,0.526069794,0.546282842,-1
n_id563,0.535154066,0.546168658,-1
n_id564,0.538373687,0.54481722,-1
n_id565,0.538310767,0.543570581,-1
n_id566,0.534068987,0.555481692,-1
n_id567,0.532365389,0.567047124,-1
n_id568,0.523835529,0.56508879,-1
n_id569,0.615438038,0.48864182,-1
n_id570,0.601803321,0.481035289,-1
n_id571,0.599431343,0.483850785,-1
n_id572,0.595242985,0.481502974,-1
n_id573,0.591580547,0.475324525,-1
n_id574,0.585449969,0.484024407,-1
n_id575,0.574535072,0.487049501,-1
n_id576,0.586264372,0.488486968,-1
n_id577,0.598000795,0.490540716,-1
n_id578,0.605193896,0.491798304,-1
n_id579,0.625134893,0.495287955,-1
n_id580,0.634009034,0.497128976,-1
n_id581,0.602919266,0.495001713,-1
n_id582,0.628077902,0.509568776,-1
n_id583,0.620274594,0.524931998,-1
n_id584,0.607771255,0.520522619,-1
n_id585,0.584034855,0.546719243,-1
n_id586,0.592070851,0.549409606,-1
n_id587,0.600873762,0.551019131,-1
n_id588,0.586596782,0.537002654,-1
n_id589,0.576232734,0.54402106,-1
n_id590,0.563345937,0.575399761,-1
n_id591,0.589259618,0.802067512,-1
