id,start,end,maxspeed,junction
l_514,n_id4437,n_id255,20 mph,None
l_515,n_id1052,n_id4410,20 mph,None
l_516,n_id4410,n_id1049,20 mph,None
l_517,n_id1049,n_id1050,20 mph,None
l_518,n_id1050,n_id1051,20 mph,None
l_519,n_id1933,n_id4417,20 mph,None
l_520,n_id4417,n_id254,20 mph,None
l_521,n_id258,n_id4411,20 mph,None
l_522,n_id4411,n_id257,20 mph,None
l_523,n_id1054,n_id4428,20 mph,None
l_524,n_id4428,n_id5621,20 mph,None
l_525,n_id5621,n_id1055,20 mph,None
l_526,n_id1055,n_id5623,20 mph,None
l_527,n_id5623,n_id1053,20 mph,None
l_528,n_id264,n_id2947,20 mph,None
l_529,n_id365,n_id2572,20 mph,None
l_530,n_id370,n_id366,20 mph,None
l_531,n_id364,n_id367,20 mph,None
l_532,n_id367,n_id6699,20 mph,None
l_533,n_id6699,n_id6698,20 mph,None
l_534,n_id6698,n_id366,20 mph,None
l_535,n_id1940,n_id8326,20 mph,None
l_536,n_id8326,n_id4433,20 mph,None
l_537,n_id4433,n_id5933,20 mph,None
l_538,n_id5933,n_id6787,20 mph,None
l_539,n_id6787,n_id297,20 mph,None
l_540,n_id297,n_id4979,20 mph,None
l_541,n_id4979,n_id4981,20 mph,None
l_542,n_id4981,n_id4977,20 mph,None
l_543,n_id4977,n_id6429,20 mph,None
l_544,n_id6429,n_id4974,20 mph,None
l_545,n_id4974,n_id298,20 mph,None
l_546,n_id298,n_id5220,20 mph,None
l_547,n_id1069,n_id9829,20 mph,None
l_548,n_id9829,n_id9830,20 mph,None
l_549,n_id9830,n_id2535,20 mph,None
l_550,n_id2535,n_id9825,20 mph,None
l_551,n_id9825,n_id5320,20 mph,None
l_552,n_id5320,n_id3198,20 mph,None
l_553,n_id3198,n_id8297,20 mph,None
l_554,n_id8297,n_id6175,20 mph,None
l_555,n_id6175,n_id8445,20 mph,None
l_556,n_id8445,n_id269,20 mph,None
l_557,n_id75,n_id9827,20 mph,None
l_558,n_id9827,n_id9828,20 mph,None
l_559,n_id9828,n_id2534,20 mph,None
l_560,n_id2534,n_id9826,20 mph,None
l_561,n_id9826,n_id1939,20 mph,None
l_562,n_id1939,n_id4273,20 mph,None
l_563,n_id4273,n_id8996,20 mph,None
l_564,n_id8996,n_id270,20 mph,None
l_565,n_id270,n_id8298,20 mph,None
l_566,n_id8298,n_id269,20 mph,None
l_567,n_id230,n_id7805,20 mph,None
l_568,n_id7805,n_id231,20 mph,None
l_569,n_id231,n_id232,20 mph,None
l_570,n_id232,n_id7497,20 mph,None
l_571,n_id7497,n_id1126,20 mph,None
l_572,n_id1126,n_id2715,20 mph,None
l_573,n_id2715,n_id3859,20 mph,None
l_574,n_id3859,n_id233,20 mph,None
l_575,n_id3376,n_id3861,20 mph,None
l_576,n_id3861,n_id233,20 mph,None
l_577,n_id630,n_id6608,20 mph,None
l_578,n_id6608,n_id3263,20 mph,None
l_579,n_id268,n_id3265,20 mph,None
l_580,n_id3265,n_id632,20 mph,None
l_581,n_id632,n_id2462,20 mph,None
l_582,n_id2462,n_id6946,20 mph,None
l_583,n_id6946,n_id3266,20 mph,None
l_584,n_id422,n_id4391,20 mph,None
l_585,n_id4391,n_id7990,20 mph,None
l_586,n_id7990,n_id421,20 mph,None
l_587,n_id421,n_id9220,20 mph,None
l_588,n_id9220,n_id420,20 mph,None
l_589,n_id420,n_id2641,20 mph,None
l_590,n_id2641,n_id419,20 mph,None
l_591,n_id352,n_id8226,20 mph,None
l_592,n_id8226,n_id4081,20 mph,None
l_593,n_id4081,n_id8212,20 mph,None
l_594,n_id8212,n_id4072,20 mph,None
l_595,n_id4072,n_id8224,20 mph,None
l_596,n_id8224,n_id4078,20 mph,None
l_597,n_id4078,n_id8204,20 mph,None
l_598,n_id8204,n_id8205,20 mph,None
l_599,n_id8205,n_id8206,20 mph,None
l_600,n_id8206,n_id8210,20 mph,None
l_601,n_id8210,n_id8211,20 mph,None
l_602,n_id8211,n_id501,20 mph,None
l_603,n_id155,n_id2652,20 mph,None
l_604,n_id2652,n_id3691,20 mph,None
l_605,n_id3691,n_id383,20 mph,None
l_606,n_id383,n_id4847,20 mph,None
l_607,n_id4847,n_id4712,20 mph,None
